'cai'yu 菜鱼
'chu'zu'che 出租车
'chun'sheng'cun 纯生存
'dan'zai'pai'dui 蛋仔派对
'di'jun 帝菌
'di'tu 地图
'di'wu'ren'ge 第五人格
'diao'wu 吊五
'die'er 蝶儿
'e'e'ya 鹅鹅鸭
'e'ya'sha 鹅鸭杀
'fa'shi'pin 发视频
'ga'dan'pai'dui 嘎蛋派对
'hang'zi 航子
'ji'ji'pai'dui 吉吉派对
'ji'li 霁璃
'ji'tang 鸡汤
'ji'xing'pai'dui 吉星派对
'jiu'mei'hao'shi 就没好事
'lao'bao 牢包
'lao'di'jun 牢帝菌
'lao'die 牢蝶
'lao'jiao 牢脚
'lao'qing 牢清
'lao'yu 牢鱼
'li'jiu 璃玖
'li'jiu'mei'hao'shi 璃玖没好事
'lie'zhi'hang'zi 劣质航子
'mei'meng'xiang'de'cai'yu 没梦想的菜鱼
'mo'zu 模组
'pai'shi'pin 拍视频
'san'jiao'zhou'xing'dong 三角洲行动
'shen'ru 神入
'tai'la'rui'ya 泰拉瑞亚
'tang'bao 唐包
'tang'ru 唐入
'tian'qing 甜清
'wan'dan'wan'yi 完蛋玩意
'wo'de'shi'jie 我的世界
'wo'la'de'shi 我拉的世
'yan'wang'di'jun 盐王帝菌
'you'xi 游戏
'yu'chen 雨辰
