'a'shui'zhen'wo'gu'tou'mian 阿谁枕我骨头眠
'ai'yu'chi'chen'ni'li'he 爱欲痴嗔泥里和
'ang'ran'bu'bian'shi'tian'xin 盎然不变是天心
'bai'ju'ci'qu'wu'duo'lu 白驹此去无多路
'bai'wu'zhu'pao'hun'bu'ren 白屋朱袍浑不认
'bi'luo'huang'quan'jie'wang'yu 碧落黄泉皆妄语
'bi'ye'ping'wu'wu'you'xin 碧野平芜物又新
'bi'you'ni'zhong'zui'gui'chang 必有泥中醉鬼尝
'bian'ba'wei'shen'yi'bi'gou 便把微身一笔勾
'bian'cheng'guo'shi'yi'suan'xin 便成果实亦酸辛
'bian'di'cang'mang'zheng'lu'yuan 鞭底苍茫征路远
'bian'fang'qian'kun'zong'wang'ran 遍访乾坤总惘然
'bian'zhao'yuan'lin'shao'yi'ren 遍照园林少一人
'bing'hu'qian'shi'shi'liu'lang 冰壶前世是刘郎
'bu'da'fan'fu'wen'tai'xuan 不答凡夫问太玄
'bu'fen'han'shi'yu'hua'zhao 不分寒食与花朝
'bu'gai'cang'mang'hai'se'xuan 不改苍茫海色玄
'bu'neng'xi'qu'ban'hang'zi 不能洗去半行字
'bu'shi'shen'ming'shi'jiu'mo 不事神明事酒魔
'bu'wen'qing'piao'yu'zhuo'piao 不问清瓢与浊瓢
'bu'wen'ye'lao'gua'peng'xia 不闻野老瓜棚下
'cai'bi'wu'qing'hui'bu'yi 彩笔无情挥不已
'can'hu'fei'wan'dou'pao'qu 残壶废碗都抛去
'can'qi'yi'yi'ru'hu'zhong 残棋一一入壶中
'can'xing'ji'dian'yi'xi'chen 残星几点已西沉
'cang'mang'ye'shui'liu'wu'yi 苍茫野水流无意
'cang'qiong'han'que'nv'wa'jie 苍穹含缺女娲嗟
'cang'tian'xuan'zhuan'bu'you'xin 苍天旋转不由心
'cao'cao'zhong'sheng'yuan'di'li 草草众生原帝力
'cao'xia'chang'mai'gu'sheng'xian 草下长埋古圣贤
'ceng'ji'he'shi'ri'you'zhong 曾几何时日又中
'ceng'si'bei'dou'yu'zhao'yao 曾司北斗与招摇
'chen'chen'xiao'xi'qi'huan'bei 沉沉消息七环杯
'chen'hun'yi'li'zui'zhong'mian 晨昏一例醉中眠
'chen'ji'yi'chang'qi'nan'ke 晨鸡一唱起南柯
'cheng'cai'cheng'qi'zong'you'tian 成材成器总由天
'cheng'fo'cheng'xian'miao'guo'yin 成佛成仙渺果因
'chui'lao'xin'chang'jiu'yi'ku 垂老心肠久已枯
'chun'huo'zhu'hong'jiu'li'tian 春火珠红酒里天
'ci'sheng'na'you'ta'sheng'zhai 此生哪有他生债
'ci'xin'ben'si'wu'gen'cao 此心本似无根草
'cong'cong'ke'sui'yi'wu'duo 匆匆客岁已无多
